"filename", "language", "JavaScript", "Markdown", "JavaScript JSX", "XML", "JSON", "PostCSS", "HTML", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\management\commands\seed_achievements.py", "Python", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 10, 76
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\management\commands\seed_questions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 223, 0, 5, 35, 263
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 7, 32
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\migrations\0002_topic_description_question_option.py", "Python", 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 6, 39
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\migrations\0003_quizattempt_useranswer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 6, 40
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\migrations\0004_remove_quizattempt_topic_quizattempt_status_and_more.py", "Python", 0, 0, 0, 0, 0, 0, 0, 29, 0, 1, 6, 36
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\migrations\0005_quizattempt_percentage.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 6, 19
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\migrations\0006_dailychallenge_userdailychallenge.py", "Python", 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 6, 39
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\migrations\0007_achievement_userachievement.py", "Python", 0, 0, 0, 0, 0, 0, 0, 31, 0, 1, 6, 38
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\migrations\0008_remove_dailychallenge_question_and_more.py", "Python", 0, 0, 0, 0, 0, 0, 0, 75, 0, 1, 15, 91
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\migrations\0009_alter_userdailychallenge_question.py", "Python", 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 6, 20
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 55, 209
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 33, 162
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\services\achievement_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 47, 213
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\services\analytics_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 70, 358
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\services\challenge_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 19, 67
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\services\daily_challenge_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 282, 0, 18, 70, 370
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\services\history_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 30, 138
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\services\question_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 17, 107
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\services\quiz_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 92, 0, 1, 30, 123
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\services\ranking_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 9, 48
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
